expelled_size,inhaled_size,transmission_prob,percent_expelled,
0.333333333,0.1,1.343625375,0.158823529,
0.666666667,0.2,1.596397125,0.158823529,
1,0.3,1.532209625,0.158823529,
1.333333333,0.4,1.511438625,0.158823529,
1.666666667,0.5,1.47189675,0.158823529,
2,0.6,1.469272375,0.158823529,
2.333333333,0.7,1.522271875,0.158823529,
2.666666667,0.8,1.52350125,0.158823529,
3,0.9,1.484854625,0.158823529,
3.333333333,1,1.434521188,0.158823529,
5,1.5,1.73527175,0.158823529,
6.666666667,2,1.984875625,0.158823529,
8.333333333,2.5,2.490626,0.158823529,
10,3,2.82279225,0.158823529,
11.66666667,3.5,3.704875625,0.158823529,
13.33333333,4,4.765626,0.158823529,
15,4.5,5.60773,0.158823529,
16.66666667,5,5.9717925,2.44,
20,6,6.712605625,2.44,
23.33333333,7,6.092044,2.44,
26.66666667,8,5.356564875,2.44,
30,9,4.694670463,2.44,
33.33333333,10,4.07163125,1.7,
36.66666667,11,3.53973625,1.7,
40,12,3.08665625,1.7,
43.33333333,13,2.94162125,1.7,
46.66666667,14,2.72946,1.7,
50,15,2.18442125,0.9,
53.33333333,16,1.546315838,0.9,
56.66666667,17,1.2306075,0.9,
60,18,0.784016625,0.9,
63.33333333,19,0.7258915,0.9,
66.66666667,20,0.522575,0.78,
70,21,0.40642625,0.78,
73.33333333,22,0.286110838,0.78,
76.66666667,23,0.16997625,0.78,
80,24,0.070480875,0.78,
83.33333333,25,0.008291875,0.84,
86.66666667,26,0,0.84,
90,27,0.008291875,0.84,
93.33333333,28,0.004145938,0.84,
96.66666667,29,0,0.84,
100,30,0,0.88,
